Year,City,State,Industry,Workers,Revenue,Latitude,Longitude
2011,Schaumburg,IL,Advertising & Marketing,96,9537000,42.0333607,-88.0834059
2011,Schaumburg,IL,Construction,265,143094000,42.0333607,-88.0834059
2011,Schaumburg,IL,Education,28,5452804,42.0333607,-88.0834059
2011,Schaumburg,IL,Telecommunications,28,5524157,42.0333607,-88.0834059
2011,Schenectady,NY,Consumer Products & Services,65,3795802,42.8142432,-73.9395687
2011,Schenectady,NY,Food & Beverage,16,2849000,42.8142432,-73.9395687
2011,Schenectady,NY,Software,48,5757442,42.8142432,-73.9395687
2011,Schertz,TX,Health,100,8285273,29.5521737,-98.269734
2011,Schiller Park,IL,Food & Beverage,50,14443024,41.9558637,-87.8708965
2011,Scotia,NY,Food & Beverage,547,24425538,42.8264652,-73.9642915
